3.2 	 2.034008969046066e-23 
3.4 	 4.922826874893622e-24 
3.6 	 2.133994229536301e-24 
4.0 	 2.2934429366336925e-28 
4.2 	 7.573834270375174e-29 
4.4 	 2.2779562283816135e-29 
4.6 	 2.7731569529820735e-30 
5.0 	 3.7547605044640083e-31 
5.2 	 1.3154002983924392e-31 
5.4 	 6.08954502892543e-32 
5.6 	 2.98033248094515e-32 
6.0 	 9.132100763773416e-33 
6.2 	 5.546564466605197e-33 
6.4 	 3.590740320789521e-33 
6.6 	 2.423431364143128e-33 
7.0 	 1.2432652889835524e-33 
7.2 	 9.338772262244228e-34 
7.4 	 7.199182192458725e-34 
7.6 	 5.678197777952607e-34 
8.0 	 3.738592005016297e-34 
8.2 	 3.1070633324214316e-34 
8.4 	 2.6176542793366573e-34 
8.6 	 2.23195975475806e-34 
9.0 	 1.6744327465561466e-34 
9.2 	 1.4702887127439953e-34 
9.4 	 1.3013673725990086e-34 
9.6 	 1.1602643519573478e-34 
10.0 	 9.402486653152821e-35 
12.0 	 4.3029952496264264e-35 
14.0 	 2.56912947729826e-35 
16.0 	 1.7775446290488493e-35 
20.0 	 1.0936298787052614e-35 
22.0 	 9.417450002330456e-36 
24.0 	 8.626379171612173e-36 
26.0 	 8.272102070056938e-36 
30.0 	 7.657712902880274e-36 
32.0 	 7.12454813374009e-36 
34.0 	 6.491667440837433e-36 
36.0 	 5.844160244149617e-36 
40.0 	 4.706476310727911e-36 
42.0 	 4.247373161012793e-36 
44.0 	 3.8580697760645835e-36 
46.0 	 3.529717433811832e-36 
50.0 	 3.019004729672585e-36 
52.0 	 2.820624468034064e-36 
54.0 	 2.65161840323384e-36 
56.0 	 2.5069599989895982e-36 
60.0 	 2.275172327090014e-36 
62.0 	 2.181972960092892e-36 
64.0 	 2.1008293520348064e-36 
66.0 	 2.029940368755377e-36 
70.0 	 1.913253761055915e-36 
72.0 	 1.865206231543686e-36 
74.0 	 1.8228274887898358e-36 
76.0 	 1.7853982984543017e-36 
80.0 	 1.723046343208076e-36 
82.0 	 1.6971641101757055e-36 
84.0 	 1.674285525111503e-36 
86.0 	 1.6540835222028727e-36 
90.0 	 1.620616600504283e-36 
92.0 	 1.6068915889339507e-36 
94.0 	 1.5949131219601794e-36 
96.0 	 1.5844081425535873e-36 
100.0 	 1.567816812290263e-36 
120.0 	 1.5432656071663682e-36 
140.0 	 1.575424315145787e-36 
160.0 	 1.6368785348557545e-36 
200.0 	 1.80442278325726e-36 
220.00000000000003 	 1.9006622823800758e-36 
240.0 	 2.0017497621408085e-36 
260.0 	 2.1065860337408865e-36 
300.0 	 2.3238249956710084e-36 
320.0 	 2.43507969919357e-36 
340.0 	 2.547633957518527e-36 
360.0 	 2.6612427030565602e-36 
400.0 	 2.8909141831881455e-36 
420.0 	 3.006716433628284e-36 
440.00000000000006 	 3.123032690905472e-36 
459.99999999999994 	 3.239788915245508e-36 
500.0 	 3.4743898138426565e-36 
520.0 	 3.5921431268736174e-36 
540.0 	 3.710149991811879e-36 
560.0 	 3.8283799543393274e-36 
600.0 	 4.065415253305624e-36 
620.0 	 4.184180494307769e-36 
640.0 	 4.3030878103191676e-36 
660.0 	 4.4221242771367694e-36 
700.0 	 4.6605371454110956e-36 
720.0 	 4.779892290218544e-36 
740.0 	 4.8993369546637586e-36 
760.0 	 5.018522218877338e-36 
800.0 	 5.257811934679728e-36 
819.9999999999999 	 5.377553177129166e-36 
840.0 	 5.4973524898460134e-36 
860.0 	 5.617205206474213e-36 
900.0 	 5.857056986920461e-36 
919.9999999999999 	 5.977048755068651e-36 
940.0 	 6.09708159303881e-36 
960.0 	 6.217152153403917e-36 
1000.0 	 6.45739550063381e-36 
1200.0 	 7.660214655886783e-36 
1400.0 	 8.86483718646322e-36 
1600.0 	 1.0070567818675207e-35 
2000.0 	 1.2483990820509453e-35 
2200.0 	 1.3691322562584378e-35 
2400.0 	 1.489892310495351e-35 
2600.0 	 1.6106733056310324e-35 
3000.0 	 1.8522808031608176e-35 
3200.0 	 1.973101501137414e-35 
3400.0 	 2.0939307271989304e-35 
3600.0 	 2.2147671541216236e-35 
4000.0 	 2.4564571771568384e-35 
4200.0 	 2.577309135291703e-35 
4400.0 	 2.6981653580813365e-35 
4600.0 	 2.819024037676735e-35 
5000.0 	 3.0607503489411074e-35 
5200.0 	 3.1816171944467725e-35 
5400.0 	 3.302485590779585e-35 
5600.0 	 3.423355596078838e-35 
6000.0 	 3.665101173024298e-35 
6200.0 	 3.785975757404913e-35 
6400.0 	 3.906851911059665e-35 
6600.0 	 4.0277285948128373e-35 
7000.0 	 4.2694846842420385e-35 
7200.0 	 4.3903643349668176e-35 
7400.0 	 4.511244662540307e-35 
7600.0 	 4.6321253529374424e-35 
8000.0 	 4.873889080449493e-35 
8200.0 	 4.994771769329747e-35 
8400.0 	 5.115654515167019e-35 
8600.0 	 5.236538186222869e-35 
9000.0 	 5.478306842714702e-35 
9200.0 	 5.599191652064792e-35 
9400.0 	 5.720077126347315e-35 
9600.0 	 5.84096218622226e-35 
10000.0 	 6.082733704835219e-35 
10200.0 	 6.203620055857164e-35 
10400.0 	 6.324507371304875e-35 
10600.0 	 6.445393593229462e-35 
