# density profiles from  M. Dziewonski and D. L. Anderson, Preliminary reference earth model, Phys. Earth Planet. Interiors 25 (1981) 297–356.
r_vec	rho_tot	16O	28Si	27Al	56Fe	40Ca	23Na	39K	24Mg	48Ti	58Ni	59Co	31P	32S  v_esc
457.286432160804	7.832252796227707e+24	0.0	0.0	0.0	6.618253612812412e+24	0.0	0.0	0.0	0.0	0.0	4.386061565887516e+23	2.349675838868312e+22	4.699351677736624e+22	7.049027516604935e+23  15.641894648471872
492.46231155778895	7.8282215328665e+24	0.0	0.0	0.0	6.614847195272192e+24	0.0	0.0	0.0	0.0	0.0	4.38380405840524e+23	2.3484664598599502e+22	4.6969329197199005e+22	7.04539937957985e+23  15.63781858416492
527.6381909547739	7.822095485821226e+24	0.0	0.0	0.0	6.609670685518936e+24	0.0	0.0	0.0	0.0	0.0	4.3803734720598864e+23	2.346628645746368e+22	4.693257291492736e+22	7.039885937239103e+23  15.632902984305884
562.8140703517588	7.815969438775952e+24	0.0	0.0	0.0	6.604494175765679e+24	0.0	0.0	0.0	0.0	0.0	4.376942885714533e+23	2.3447908316327856e+22	4.689581663265571e+22	7.034372494898356e+23  15.627970852562276
597.9899497487437	7.809843391730677e+24	0.0	0.0	0.0	6.599317666012422e+24	0.0	0.0	0.0	0.0	0.0	4.373512299369179e+23	2.342953017519203e+22	4.685906035038406e+22	7.028859052557609e+23  15.622515863107633
633.1658291457286	7.803717344685403e+24	0.0	0.0	0.0	6.594141156259165e+24	0.0	0.0	0.0	0.0	0.0	4.3700817130238256e+23	2.341115203405621e+22	4.682230406811242e+22	7.023345610216863e+23  15.617087384089674
668.3417085427136	7.797591297640128e+24	0.0	0.0	0.0	6.588964646505907e+24	0.0	0.0	0.0	0.0	0.0	4.366651126678472e+23	2.3392773892920385e+22	4.678554778584077e+22	7.017832167876115e+23  15.611258151290262
703.5175879396985	7.791187735468463e+24	0.0	0.0	0.0	6.583553636470851e+24	0.0	0.0	0.0	0.0	0.0	4.3630651318623395e+23	2.337356320640539e+22	4.674712641281078e+22	7.012068961921617e+23  15.604977007805054
738.6934673366834	7.784783205129736e+24	0.0	0.0	0.0	6.578141808334628e+24	0.0	0.0	0.0	0.0	0.0	4.359478594872653e+23	2.335434961538921e+22	4.670869923077842e+22	7.006304884616762e+23  15.598551001726504
773.8693467336684	7.778378674791011e+24	0.0	0.0	0.0	6.572729980198404e+24	0.0	0.0	0.0	0.0	0.0	4.355892057882966e+23	2.3335136024373034e+22	4.667027204874607e+22	7.000540807311909e+23  15.592020500664132
809.0452261306533	7.771974144452285e+24	0.0	0.0	0.0	6.567318152062181e+24	0.0	0.0	0.0	0.0	0.0	4.35230552089328e+23	2.3315922433356855e+22	4.663184486671371e+22	6.994776730007057e+23  15.584679252139246
844.2211055276382	7.765569614113558e+24	0.0	0.0	0.0	6.561906323925957e+24	0.0	0.0	0.0	0.0	0.0	4.348718983903593e+23	2.3296708842340676e+22	4.659341768468135e+22	6.989012652702202e+23  15.577433412204748
879.3969849246231	7.758563774389821e+24	0.0	0.0	0.0	6.555986389359399e+24	0.0	0.0	0.0	0.0	0.0	4.3447957136583e+23	2.3275691323169465e+22	4.655138264633893e+22	6.982707396950839e+23  15.569820782891309
914.572864321608	7.751518985059099e+24	0.0	0.0	0.0	6.550033542374939e+24	0.0	0.0	0.0	0.0	0.0	4.3408506316330955e+23	2.32545569551773e+22	4.65091139103546e+22	6.97636708655319e+23  15.561696268285539
949.748743718593	7.744474195728378e+24	0.0	0.0	0.0	6.544080695390479e+24	0.0	0.0	0.0	0.0	0.0	4.336905549607892e+23	2.3233422587185135e+22	4.646684517437027e+22	6.97002677615554e+23  15.55320228123153
984.9246231155779	7.737429406397655e+24	0.0	0.0	0.0	6.538127848406018e+24	0.0	0.0	0.0	0.0	0.0	4.332960467582687e+23	2.321228821919297e+22	4.642457643838594e+22	6.96368646575789e+23  15.544378360655665
1020.1005025125628	7.728545345467334e+24	0.0	0.0	0.0	6.530620816919897e+24	0.0	0.0	0.0	0.0	0.0	4.327985393461707e+23	2.3185636036402003e+22	4.637127207280401e+22	6.9556908109206e+23  15.535264200572891
1055.2763819095478	7.716113771037641e+24	0.0	0.0	0.0	6.520116136526806e+24	0.0	0.0	0.0	0.0	0.0	4.3210237117810794e+23	2.3148341313112925e+22	4.629668262622585e+22	6.944502393933877e+23  15.526130702746473
1090.4522613065326	7.703682196607949e+24	0.0	0.0	0.0	6.509611456133717e+24	0.0	0.0	0.0	0.0	0.0	4.314062030100452e+23	2.3111046589823846e+22	4.622209317964769e+22	6.933313976947154e+23  15.516450765995637
1125.6281407035176	7.691250622178257e+24	0.0	0.0	0.0	6.499106775740627e+24	0.0	0.0	0.0	0.0	0.0	4.307100348419824e+23	2.3073751866534772e+22	4.6147503733069545e+22	6.92212555996043e+23  15.506374084839493
1160.8040201005026	7.67742135324189e+24	0.0	0.0	0.0	6.487421043489397e+24	0.0	0.0	0.0	0.0	0.0	4.2993559578154584e+23	2.303226405972567e+22	4.606452811945134e+22	6.9096792179177e+23  15.496217195174136
1195.9798994974874	7.661766685288216e+24	0.0	0.0	0.0	6.474192849068542e+24	0.0	0.0	0.0	0.0	0.0	4.290589343761401e+23	2.298530005586465e+22	4.59706001117293e+22	6.895590016759395e+23  15.485598582197557
1231.1557788944724	7.310015333051586e+24	0.0	0.0	0.0	6.17696295642859e+24	0.0	0.0	0.0	0.0	0.0	4.093608586508888e+23	2.193004599915476e+22	4.386009199830952e+22	6.579013799746427e+23  15.47461604438116
1266.3316582914572	7.297205048211601e+24	0.0	0.0	0.0	6.166138265738802e+24	0.0	0.0	0.0	0.0	0.0	4.086434826998497e+23	2.18916151446348e+22	4.37832302892696e+22	6.56748454339044e+23  15.463403210998585
1301.5075376884422	7.284394763371614e+24	0.0	0.0	0.0	6.155313575049014e+24	0.0	0.0	0.0	0.0	0.0	4.079261067488104e+23	2.1853184290114844e+22	4.370636858022969e+22	6.555955287034453e+23  15.452089104103372
1336.6834170854272	7.272233404767725e+24	0.0	0.0	0.0	6.145037227028727e+24	0.0	0.0	0.0	0.0	0.0	4.072450706669926e+23	2.1816700214303175e+22	4.363340042860635e+22	6.545010064290953e+23  15.440234834733626
1371.859296482412	7.26049361209731e+24	0.0	0.0	0.0	6.135117102222227e+24	0.0	0.0	0.0	0.0	0.0	4.0658764227744935e+23	2.178148083629193e+22	4.356296167258386e+22	6.534444250887578e+23  15.428117058574177
