2.2 	 4.403881812840513e-33 
2.4 	 7.404546116007869e-34 
2.6 	 2.888738938129982e-34 
3.0 	 9.809187987041277e-35 
3.2 	 4.3196958569480915e-37 
3.4 	 1.0498208914497233e-37 
3.6 	 4.554926877897057e-38 
4.0 	 1.225930368858072e-38 
4.2 	 6.634886450598577e-39 
4.4 	 4.002407271840207e-39 
4.6 	 2.560333218399537e-39 
5.0 	 1.2192568504601772e-39 
5.2 	 8.935364570756433e-40 
5.4 	 6.763713593030831e-40 
5.6 	 5.25749692256794e-40 
6.0 	 3.3886763460677497e-40 
6.2 	 2.795058113494646e-40 
6.4 	 2.3418557858277083e-40 
6.6 	 1.989301228307845e-40 
7.0 	 1.4888431162474632e-40 
7.2 	 1.3088340435622393e-40 
7.4 	 1.1614878365989873e-40 
7.6 	 1.0396400857896357e-40 
8.0 	 8.522758285015954e-41 
8.2 	 7.795754654473937e-41 
8.4 	 7.174083073721757e-41 
8.6 	 6.638832185530581e-41 
9.0 	 5.770877081302634e-41 
9.2 	 5.416698172956302e-41 
9.4 	 5.104777341522762e-41 
9.6 	 4.828789458433202e-41 
10.0 	 4.364716366400944e-41 
12.0 	 3.062111007842956e-41 
14.0 	 2.5018568594639105e-41 
16.0 	 2.1679629388947665e-41 
20.0 	 1.1888256912237223e-41 
22.0 	 7.613782476547071e-42 
24.0 	 5.03853910802072e-42 
26.0 	 3.543549416683824e-42 
30.0 	 2.081567324507962e-42 
32.0 	 1.7084077342494733e-42 
34.0 	 1.4516091542865667e-42 
36.0 	 1.2686763047645597e-42 
40.0 	 1.0339900508604954e-42 
42.0 	 9.570710121510194e-43 
44.0 	 8.973653154009362e-43 
46.0 	 8.504735759434842e-43 
50.0 	 7.837176636317777e-43 
52.0 	 7.6005312008832e-43 
54.0 	 7.411071685217277e-43 
56.0 	 7.260387434848519e-43 
60.0 	 7.0480888095107494e-43 
62.0 	 6.976797490083581e-43 
64.0 	 6.923929049972842e-43 
66.0 	 6.886724803745737e-43 
70.0 	 6.8507307285134816e-43 
72.0 	 6.848588738300707e-43 
74.0 	 6.855235396869479e-43 
76.0 	 6.86959411353192e-43 
80.0 	 6.917970609169307e-43 
82.0 	 6.950560475952069e-43 
84.0 	 6.987957771645202e-43 
86.0 	 7.029672175075305e-43 
90.0 	 7.124398392985258e-43 
92.0 	 7.176704800679455e-43 
94.0 	 7.231909163443538e-43 
96.0 	 7.289755440319299e-43 
100.0 	 7.412490642882267e-43 
120.0 	 8.127029722392591e-43 
140.0 	 8.943165954380996e-43 
160.0 	 9.814325050600987e-43 
200.0 	 1.1644315447295242e-42 
220.00000000000003 	 1.2584740897928963e-42 
240.0 	 1.3535678145684796e-42 
260.0 	 1.4494391127576947e-42 
300.0 	 1.6428254715582995e-42 
320.0 	 1.7401144041551573e-42 
340.0 	 1.8376982991493652e-42 
360.0 	 1.9355236518589397e-42 
400.0 	 2.1317427330551255e-42 
420.0 	 2.2300784039014623e-42 
440.00000000000006 	 2.32853535911904e-42 
459.99999999999994 	 2.427096931224946e-42 
500.0 	 2.6244804257314064e-42 
520.0 	 2.7232812353248137e-42 
540.0 	 2.8221433224169153e-42 
560.0 	 2.9210597237528753e-42 
600.0 	 3.1190328635416284e-42 
620.0 	 3.2180802915019414e-42 
640.0 	 3.3171626689977203e-42 
660.0 	 3.416277038208359e-42 
700.0 	 3.614589769820056e-42 
720.0 	 3.713783159493285e-42 
740.0 	 3.812998906701039e-42 
760.0 	 3.9122347053133346e-42 
800.0 	 4.110760517495986e-42 
819.9999999999999 	 4.210048085146103e-42 
840.0 	 4.309350055301448e-42 
860.0 	 4.408665887995763e-42 
900.0 	 4.607334440839402e-42 
919.9999999999999 	 4.7066855525739455e-42 
940.0 	 4.8060470627174785e-42 
960.0 	 4.905418283061984e-42 
1000.0 	 5.104186892421954e-42 
1200.0 	 6.098442110302542e-42 
1400.0 	 7.093164183699369e-42 
1600.0 	 8.088175625476047e-42 
2000.0 	 1.0078712801576522e-41 
2200.0 	 1.1074143922857356e-41 
2400.0 	 1.2069647079408838e-41 
2600.0 	 1.3065205262022048e-41 
3000.0 	 1.505644259487142e-41 
3200.0 	 1.6052106429770751e-41 
3400.0 	 1.7047793631399036e-41 
3600.0 	 1.8043499971215107e-41 
4000.0 	 2.0034957922759094e-41 
4200.0 	 2.103070594280891e-41 
4400.0 	 2.2026463071479446e-41 
4600.0 	 2.3022229654004707e-41 
5000.0 	 2.501378386749163e-41 
5200.0 	 2.6009569758900684e-41 
5400.0 	 2.7005362723557837e-41 
5600.0 	 2.800115905980912e-41 
6000.0 	 2.999276518066303e-41 
6200.0 	 3.098857309395483e-41 
6400.0 	 3.1984385775644017e-41 
6600.0 	 3.298020024517219e-41 
7000.0 	 3.4971835776153147e-41 
7200.0 	 3.5967656541627123e-41 
7400.0 	 3.6963480196018945e-41 
7600.0 	 3.7959307533166294e-41 
8000.0 	 3.995096114961247e-41 
8200.0 	 4.094679196137901e-41 
8400.0 	 4.1942621714166666e-41 
8600.0 	 4.293845420249773e-41 
9000.0 	 4.493012327826052e-41 
9200.0 	 4.592595789521161e-41 
9400.0 	 4.692179462763908e-41 
9600.0 	 4.791763234508333e-41 
10000.0 	 4.990930998780608e-41 
10200.0 	 5.090514764386532e-41 
10400.0 	 5.1900989753571e-41 
10600.0 	 5.289683200738333e-41 
