# Solar density profiles from model AGSS09ph [arXiv.0909.2668]
r_vec     rho_tot     1H     4He     3He     12C     13C     14N     15N     16O     17O     18O     20Ne     23Na     24Mg     27Al     28Si     P     32S     Cl     40Ar     K     40Ca     Sc     Ti     V     Cr     Mn     56Fe     Co     58Ni     v_esc     
0.05150000000000001  125.79999999999998  59.75424233670353  65.42282543117136  0.002629006162939305  0.0008367785402188715  0.00019022025071556496  0.5117086085905717  0.00040025679512168213  0.8475900805513289  0.00458850493222707  0.002425080194997434  0.18845531422834016  0.004286270334447079  0.10384540453255844  0.008160629008124243  0.09753034357423528  0.0008544533245494502  0.04535502930226054  0.0012032138689469162  0.009784960982025397  0.00044949749856168107  0.009408507895800233  6.811957984523865e-06  0.00045775469513291693  4.652546592430519e-05  0.0024340280630021265  0.0015866544274331545  0.189568080792009  0.0006179589093655205  0.010454146924350772  1331.0922136720785  
0.05899999999999998  119.80000000000001  60.31177762198074  58.72938202692113  0.003114812396257202  0.0007525245670774535  0.0001712585871126206  0.4861016089990862  0.00037969894895861284  0.8084258064797593  0.000311172899705523  0.002305201484595118  0.17925370699952412  0.004071002643321321  0.09857048548701038  0.0077477799051233354  0.09260434373554957  0.0008109038898806224  0.043078918007439286  0.0011421842743362135  0.009290679865434777  0.00042693547261105454  0.008932985905703478  6.473406986754796e-06  0.0004347933998416603  4.415500259524997e-05  0.002315179169678594  0.00150707850335684  0.1797133170157176  0.0005869588282594175  0.009923175698847313  1327.3638826195659  
0.06649999999999999  113.60000000000001  60.555957717453595  52.25720729668912  0.003696034329423806  0.0006705248275337054  0.00015223944098350617  0.45928925652486907  0.0003587591144073656  0.7658579243518283  0.0  0.0021768269436432328  0.1688418484363898  0.003848842085706945  0.09327827979214015  0.007328197290113357  0.08755815935915971  0.0007673406176863268  0.04073156588471695  0.0010805089066546999  0.008784593285578384  0.0004036696859816062  0.008449785032753806  6.119020806132051e-06  0.0004110990793993027  4.1820410566628e-05  0.002187686863370669  0.0014263841957633807  0.17040627490925173  0.0005551189338284722  0.009386502051409189  1323.0085822136762  
0.074  107.4  60.43860614972239  46.18658281522559  0.004385835428635921  0.0005912246899800618  0.0001348057406562413  0.4333342439050959  0.0003383103588621755  0.7229754311404676  0.0  0.002052669769253753  0.15959100209573338  0.0036357727588905036  0.08798513717399653  0.006915141144100885  0.08266014363321862  0.0007240968911957671  0.03843418435965707  0.0010196145598757532  0.008293103715740229  0.0003809018799173886  0.007973449357203476  5.77387798337481e-06  0.00038791763811579555  3.9429424137512056e-05  0.0020602514966751103  0.0013420227668755119  0.16043588260489514  0.0005234310972922571  0.008857411481895033  1318.0560323340687  
0.08149999999999999  101.40000000000002  59.92880163593885  40.608926586725424  0.005205598424372196  0.0005161617573204443  0.00011726379713208147  0.4077825117563163  0.000318701545601676  0.6800246014990183  0.0  0.0019310413095841202  0.15016093490816723  0.003418670425416802  0.08282590101816624  0.006509637463979136  0.07781588456751255  0.0006816794302436449  0.036180574008576265  0.0009594269853144803  0.0078071305133203175  0.00035855745677194954  0.007506104179253128  5.435365059724557e-06  0.0003651720851856478  3.711735123754897e-05  0.0019432381879936076  0.0012673182876073836  0.1514460034489512  0.0004931298094158273  0.008338130603148638  1312.5592549602159  
0.089  95.45  59.02722607521428  35.610058002140676  0.006181641072446612  0.0004470924200901024  0.00010197739099728791  0.3826580578080352  0.00029839347690504165  0.6378684183199224  0.0  0.0018085094579815657  0.140566801659045  0.003212175824026601  0.0777358264073099  0.006112358880900592  0.07303170998784479  0.0006396554120626024  0.033950408734944065  0.0009010314355007483  0.007327213310610323  0.0003369135039691706  0.007048634493996778  5.102689353017538e-06  0.0003426726434739489  3.4831622277283615e-05  0.0018260384596787257  0.0011865107885135257  0.1418834362457402  0.00046293919500627257  0.007830383450473653  1306.5516630935383  
0.0965  89.76  57.77352763161978  31.19475385322812  0.007337230640710538  0.00038361963055803783  8.731774854490403e-05  0.3589046900186967  0.00027969938140567896  0.5971537381051947  0.0  0.001699719750473038  0.13223315890159656  0.003009196214254441  0.07297881982957224  0.005734925559268281  0.06851887214654394  0.0006001161430491703  0.0318980848769616  0.0008453816007459681  0.006874488656701652  0.0003156606828010512  0.0066087918474930325  4.787415856083132e-06  0.00032195457094186594  3.267855537526815e-05  0.0017088068654988174  0.0011177155257017992  0.133117572151399  0.0004338806802642999  0.0073423309977726624  1300.0857040557235  
0.10400000000000001  84.31999999999998  56.1971923116588  27.346220113565746  0.008704552428926303  0.00032549890705341655  7.370895359188627e-05  0.33572146278274384  0.0002618644135773602  0.5587580011881972  0.0  0.0015867966634793777  0.12336287698375142  0.002824504094118588  0.06834294270226379  0.005369503453907369  0.06420948168571171  0.0005623560674942102  0.029846403085306804  0.000791735642471071  0.006442124277586775  0.00029627831618673757  0.006192871759339552  4.4862617422908254e-06  0.0003012561763140248  3.062078374460315e-05  0.0016058968794039456  0.0010428363069048664  0.12473763973380245  0.00040704163959270727  0.006880274651100054  1293.1936808700991  
0.1115  79.13  54.35134914385776  24.032524378527366  0.010318977523476623  0.00027279852685286547  6.21790507570071e-05  0.3146783423491046  0.00024496622732085127  0.5221036862043047  0.0  0.00148410404229616  0.11540085866369496  0.0026399520960165737  0.0639911499407435  0.005032396290778451  0.06007232688991523  0.0005265451117735726  0.027945190453490677  0.0007418145687143925  0.006027056468758002  0.00027694698135612156  0.005798476745933396  4.200679709108704e-06  0.00028206706254752596  2.8670917642546973e-05  0.0014989845036943975  0.000976358593802648  0.11679595459298149  0.0003806452256947985  0.006442171463289406  1285.9247573625426  
0.11899999999999998  74.20000000000002  52.285102318819625  21.197033149219397  0.012239853362501146  0.0002257892442494156  5.1263465453537285e-05  0.2942749533616689  0.00022892731693264153  0.4881483097237397  0.0  0.001386675426386381  0.10784386074565783  0.0024743352699138775  0.05985996996400893  0.0047027365713724805  0.056241717732962763  0.0004925549344279868  0.026139488596508064  0.0006934484897506451  0.005642753948075123  0.00025905873164274427  0.005429218539904174  3.929677552827709e-06  0.00026384596447109806  2.6818969723676046e-05  0.0014070818415051606  0.0009182339632605455  0.1092555746537473  0.0003565655031960127  0.006026361598597942  1278.3077242768054  
