# Density profiles from [arXiv.2104.14367]
r_vec	          rho_tot       	12C  v_esc
1.305009e-01	9.547931e-01	9.547931e-01  5791.4513612737865
1.320183e-01	9.533219e-01	9.533219e-01  5789.741602020955
1.335358e-01	9.518382e-01	9.518382e-01  5788.015756399506
1.350532e-01	9.503401e-01	9.503401e-01  5786.270378593812
1.365707e-01	9.488254e-01	9.488254e-01  5784.508051067974
1.380881e-01	9.472919e-01	9.472919e-01  5782.725537745339
1.396056e-01	9.457374e-01	9.457374e-01  5780.925996198065
1.411230e-01	9.441598e-01	9.441598e-01  5779.114902174459
1.426405e-01	9.425570e-01	9.425570e-01  5777.269324531967
1.441579e-01	9.409268e-01	9.409268e-01  5775.412314398955
1.456754e-01	9.392671e-01	9.392671e-01  5773.54311735375
1.471928e-01	9.375757e-01	9.375757e-01  5771.648319217588
1.487103e-01	9.358504e-01	9.358504e-01  5769.7399681680035
1.502277e-01	9.340906e-01	9.340906e-01  5767.813393576375
1.517452e-01	9.322971e-01	9.322971e-01  5765.867475438441
1.532626e-01	9.304709e-01	9.304709e-01  5763.905510077671
1.547801e-01	9.286130e-01	9.286130e-01  5761.922753871398
1.562975e-01	9.267245e-01	9.267245e-01  5759.9236344716
1.578150e-01	9.248063e-01	9.248063e-01  5757.908303874661
1.593324e-01	9.228594e-01	9.228594e-01  5755.87071853228
1.608499e-01	9.208849e-01	9.208849e-01  5753.8207499746395
1.623673e-01	9.188838e-01	9.188838e-01  5751.7507015663
1.638848e-01	9.168570e-01	9.168570e-01  5749.653710254398
1.654022e-01	9.148057e-01	9.148057e-01  5747.55668772596
1.669197e-01	9.127307e-01	9.127307e-01  5745.4359792606565
1.684371e-01	9.106331e-01	9.106331e-01  5743.293968766576
1.699546e-01	9.085140e-01	9.085140e-01  5741.138816810891
1.714720e-01	9.063743e-01	9.063743e-01  5738.962525915289
1.729895e-01	9.042150e-01	9.042150e-01  5736.770873557599
1.745069e-01	9.020371e-01	9.020371e-01  5734.554041005174
1.760244e-01	8.998417e-01	8.998417e-01  5732.336276085397
1.775418e-01	8.976297e-01	8.976297e-01  5730.090272984968
1.790593e-01	8.954022e-01	8.954022e-01  5727.834672084976
1.805767e-01	8.931602e-01	8.931602e-01  5725.556683949369
1.820942e-01	8.909047e-01	8.909047e-01  5723.266397653951
1.836116e-01	8.886366e-01	8.886366e-01  5720.952583524312
1.851291e-01	8.863571e-01	8.863571e-01  5718.622387162951
1.866465e-01	8.840670e-01	8.840670e-01  5716.278276906078
1.881640e-01	8.817675e-01	8.817675e-01  5713.918521940817
1.896814e-01	8.794595e-01	8.794595e-01  5711.5435547073985
1.911989e-01	8.771440e-01	8.771440e-01  5709.146450791729
1.927163e-01	8.748221e-01	8.748221e-01  5706.736359603691
1.942338e-01	8.724947e-01	8.724947e-01  5704.306951623513
1.957512e-01	8.701629e-01	8.701629e-01  5701.866299317502
1.972687e-01	8.678277e-01	8.678277e-01  5699.404638476034
1.987861e-01	8.654900e-01	8.654900e-01  5696.931049885249
2.003036e-01	8.631509e-01	8.631509e-01  5694.443240355863
2.018210e-01	8.608103e-01	8.608103e-01  5691.930944351588
2.033385e-01	8.584681e-01	8.584681e-01  5689.406556992425
2.048559e-01	8.561240e-01	8.561240e-01  5686.869630847791
2.063734e-01	8.537778e-01	8.537778e-01  5684.305542990085
2.078908e-01	8.514293e-01	8.514293e-01  5681.742739785747
2.094083e-01	8.490782e-01	8.490782e-01  5679.152684011991
2.109257e-01	8.467243e-01	8.467243e-01  5676.551006450834
2.124432e-01	8.443674e-01	8.443674e-01  5673.935653251314
2.139606e-01	8.420072e-01	8.420072e-01  5671.299136503062
2.154781e-01	8.396435e-01	8.396435e-01  5668.649544849577
2.169955e-01	8.372761e-01	8.372761e-01  5665.986107131885
2.185130e-01	8.349047e-01	8.349047e-01  5663.302183781419
2.200304e-01	8.325291e-01	8.325291e-01  5660.606948970972
2.215479e-01	8.301491e-01	8.301491e-01  5657.896767210998
2.230653e-01	8.277645e-01	8.277645e-01  5655.1706928616
2.245828e-01	8.253749e-01	8.253749e-01  5652.430720946961
2.261003e-01	8.229802e-01	8.229802e-01  5649.673178887789
2.276177e-01	8.205801e-01	8.205801e-01  5646.904499270658
2.291352e-01	8.181744e-01	8.181744e-01  5644.1149237320615
2.306526e-01	8.157629e-01	8.157629e-01  5641.308511739545
